name,category_id
"Cars"," Vans & Utes","1001"
"Parts & Spares","1001"
"Caravan & Campervan","1001"
"Bikes & Scooters","1001"
"Mechanics & Garages","1001"
"Trailers","1001"
"Automotive Services","1001"
"Hospitality","1002"
"Construction & Trades","1002"
"Sales & Marketing","1002"
"Graphics & Web Design","1002"
"Farming","1002"
"Finance","1002"
"Gardening & Landscaping","1002"
"Health & Sports","1002"
"Beauth","1002"
"Healthcare & Nursing","1002"
"Housekeeping","1002"
"IT","1002"
"Moving & Removals","1002"
"Nanny & Babysitting","1002"
"Office","1002"
"Legal","1002"
"Real Estate","1002"
"Recruitment & HR","1002"
"Retails","1002"
"Sales & Call Centres","1002"
"Teaching & Childcare","1002"
"Transport & Logistics","1002"
"Volunteer","1002"
"Flatshare & Houseshare","1003"
"Roomshare","1003"
"Property For Rent","1003"
"Property For Sale","1003"
"Couchsurfing","1003"
"Land For Sale","1003"
"Office & Commercial Space","1003"
"Parking & Storage","1003"
"Real Estate Services","1003"
"Short Term","1003"
"Furniture","1004"
"Appliances","1004"
"Tools & DIY","1004"
"Garden","1004"
"Builders & Trades","1004"
"Building Materials","1004"
"Cleaning Services","1004"
"Home Decor","1004"
"Women's Clothing","1005"
"Women's Shoes","1005"
"Men's Clothing","1005"
"Jewellery","1005"
"Accessories","1005"
"Bags","1005"
"Dress Making","1005"
"Men's Shoes","1005"
"Alteration Services","1005"
"Computers & Software","1006"
"Phones","1006"
"Video Game & Consoles","1006"
"Cameras","1006"
"Audio","1006"
"TV & DVD Players","1006"
"Hire & Sell","1007"
"Art & Entertainment","1007"
"Building & Repairs","1007"
"Cleaning","1007"
"Moving","1007"
"Outdoor & Garden","1007"
"Health & Beauty","1007"
"Appliance Repair","1007"
"Automotive","1007"
"Childcare & Nanny","1007"
"Computer Repair","1007"
"Courses & Training","1007"
"Dress Making","1007"
"Graphic & Web Design","1007"
"Tutoring","1007"
"Languages","1007"
"Mechanics","1007"
"Musicians & Artists","1007"
"Party & Catering","1007"
"Personal Training","1007"
"Pet Services","1007"
"Photography & Video","1007"
"Real Estate","1007"
"Resume","1007"
"Tax & Financial","1007"
"Taxi & Airport Transfers","1007"
"Travel Agent","1007"
"Wedding & Venues","1007"
"Lost & Found","1008"
"Pet Products","1008"
"Horses & Ponies","1008"
"Dogs & Puppies","1008"
"Birds","1008"
"Cats & Kittens","1008"
"Fish","1008"
"Livestock","1008"
"Pet Services","1008"
"Rabbits","1008"
"Reptiles","1008"
"Musical Instruments","1009"
"CD's & DVD's","1009"
"Books","1009"
"Board Games","1009"
"Video Games","1009"
"Rideshare & Travel Partners","1010"
"Garage Sale","1010"
"Classes","1010"
"Musicians & Artists","1010"
"Activities & Hobbies","1010"
"Dance Partners","1010"
"Events","1010"
"Lost & Found","1010"
"Language Swap","1010"
"Missed Connections","1010"
"Sports Partners","1010"
"Escort & Adult","1011"
"Toys & Accessories","1011"
"Website & Movies","1011"
"Casual Encounters & NSA","1011"
"Adult Services","1011"
"Men4Men","1011"
"Women4Women","1011"
"Concerts","1012"
"Sport","1012"
"Bus"," Train & Plane","1012"
"Other Tickets","1012"
"Theatre & film","1012"
"Machinery","1013"
"Vehicles","1013"
"Livestock","1013"
"Equipment","1013"
"Workshop","1013"
"Water","1013"
"Cropping","1013"
"Baby Clothing","1014"
"Kids Clothing","1014"
"Toys - Indoor","1014"
"Cots & Bedding","1014"
"Baby Carriers","1014"
"Baths","1014"
"Childcare Services","1014"
"Safety","1014"
"Feeding","1014"
"Maternity Clothing","1014"
"Prams & Strollers","1014"
"Toys - Outdoor","1014"
"Garage Sales","1015"
"Auctions","1015"
"Flea Markets","1015"
"Barter","1015"
"Free Stuff","1015"
"Stuff Wanted","1015"
"Antiques","1016"
"Art","1016"
"Sports Memorabilia","1016"
"Toy Collectables","1016"
"Collectable Dolls","1016"
"Bicycles","1017"
"Gym & Fitness","1017"
"Surfing","1017"
"Golf","1017"
"Boxing & Martial Arts","1017"
"Camping & Hiking","1017"
"Fishing","1017"
"Personal Training","1017"
"Racquet Sports","1017"
"Skateboards","1017"
"Snow Sports","1017"
"Sports Bags","1017"
"Motorboats & Powerboats","1018"
"Boat Accessories","1018"
"Tinnies & Dinghies","1018"
"Kayaks & Paddle","1018"
"Jet Skis","1018"
"Sail Boats","1018"
